Settlement Main,Settlement Alt,Area (alt-map resource sheet),Sub-Area (alt-map resource sheet),Region Code Main,Region Code Alt,Official Area,Resource Sheet Area,order,Comment,Landscape,Climates,offset,Fertility,Port level,Riverport,Irrigation,Earthquakes (not used yet),complete,Hidden resources,comment,rss done,,,,Item,Hidden resource
Rhegium,Rhegium,Italy,South West Italy,Rhegion,Rhegion,Italy,Italy,1,,Mountains,Mediterranean,1,6,Dockyard,No,No,Yes,OK,"Farm6, mountains, mediterranean, base_port_level_3",,,,,,Wetlands/Swamps/Marshes,wetlands
Iguvium,Iguvium,Italy,Central East Italy,Umbria,Umbria,Italy,Italy,1,,Karst Terrain,Temperate,1,5,No port,No,No,Yes,OK,"Farm5, karst_terrain, temperate",,,,,,Steppe,steppe
Sena Gallica,Sena Gallica,Italy,Central East Italy,Ager_Gallicus,Ager_Gallicus,Italy,Italy,1,,Grassland,Humid Sub-tropical,-1,8,Shipwright,Yes,River,Yes,OK,"Farm8, grassland, humid_sub_tropical, base_port_level_2, rivertrade, irrigation_river",,,,,,Karst Terrain,karst_terrain
Consentia,Consentia,Italy,South West Italy,Bruttium,Bruttium,Italy,Italy,1,,Mountain Valley,Mediterranean,-1,6,Trade Port,No,River,Yes,OK,"Farm6, mountain_valley, mediterranean, base_port_level_1, irrigation_river",,,,,,Mediterranean,mediterranean
Volaterrae,Volaterrae,Italy,Etruria,Etruria_Occidentalis,Velathri,Italy,Italy,1,Name Change,River Valley,Mediterranean,-1,9,Trade Port,No,Lake,Yes,OK,"Farm9, river_valley, mediterranean, base_port_level_1, irrigation_lake",,,,,,Continental,continental
Volsinii,Volsinii,Italy,Etruria,Velzna,Velzna,Italy,Italy,1,,Hills,Mediterranean,1,7,Shipwright,No,Lake,No,OK,"Farm7, hills, mediterranean, base_port_level_2, irrigation_lake",,,,,,Oceanic,oceanic
Corfinium,Corfinium,Italy,Latium & Central Italy,Paelignia-Marsica,Paelignia,Italy,Italy,1,Name Change,Mountains,Continental,0,4,No port,Yes,River,Yes,OK,"Farm4, mountains, continental, rivertrade, irrigation_river",,,,,,Arid,arid
Neapolis,Neapolis,Italy,Campania & Samnium,Parthenope,Parthenope,Italy,Italy,1,,Mountain Valley,Mediterranean,2,9,Dockyard,No,Springs,Yes,OK,"Farm9, mountain_valley, mediterranean, base_port_level_3, irrigation_springs",,,,,,Cold Semi-arid,cold_semi_arid
Sarsina,Sarsina,Italy,Central East Italy,Sassinia,Sassinia,Italy,Italy,1,,Forest,Temperate,-1,5,Trade Port,No,River,Yes,OK,"Farm5, forest, temperate, base_port_level_1, irrigation_river",,,,,,Hot Semi-arid,hot_semi_arid
Paestum,Paestum,Italy,South West Italy,Poseidonia,Poseidonia,Italy,Italy,1,,Mountain Valley,Mediterranean,-1,6,Shipwright,Yes,River,No,OK,"Farm6, mountain_valley, mediterranean, base_port_level_2, rivertrade, irrigation_river",,,,,,Dry Sub-tropical,dry_sub_tropical
Arpi,Arpi,Italy,South East Italy,Daunia,Daunia,Italy,Italy,1,,Grassland,Mediterranean,1,10,Trade Port,Yes,River,Yes,OK,"Farm10, grassland, mediterranean, base_port_level_1, rivertrade, irrigation_river",,,,,,Humid Sub-tropical,humid_sub_tropical
Bovianum,Bovianum,Italy,Campania & Samnium,Pentria,Pentria,Italy,Italy,1,,Hills,Temperate,0,6,No port,No,No,Yes,OK,"Farm6, hills, temperate",,,,,,Temperate,temperate
Falerii,Falerii,Italy,Latium & Central Italy,Faliscia,Faliscia,Italy,Italy,1,,Forest,Mediterranean,2,8,No port,Yes,River,Yes,OK,"Farm8, forest, mediterranean, rivertrade, irrigation_river",,,,,,Monsoon,monsoon
Larinum,Larinum,Italy,Latium & Central Italy,Frentania,Frentania,Italy,Italy,1,,Hills,Mediterranean,1,7,Trade Port,No,River,Yes,OK,"Farm7, hills, mediterranean, base_port_level_1, irrigation_river",,,,,,Alpine,alpine
Cosa,Cosa,Italy,Etruria,Etruria_Meridionalis,Cosia,Italy,Italy,1,Name Change,Hills,Mediterranean,1,7,Shipwright,No,River,No,OK,"Farm7, hills, mediterranean, base_port_level_2, irrigation_river",,,,,,Sub-artic,sub_artic
Epizephyrian Locri,Epizephyrian Locri,Italy,South West Italy,Lokroi_Epizephyrioi,Lokroi_Epizephyrioi,Italy,Italy,1,,Karst Terrain,Mediterranean,1,5,Shipwright,No,No,Yes,OK,"Farm5, karst_terrain, mediterranean, base_port_level_2",,,,,,Tropical,tropical
Teate,,,,Marrucinia-Vestinia,,Italy,Italy,1,Missing in Alt,Karst Terrain,Humid Sub-tropical,1,5,Needs Harbour,No,River,Yes,OK,"Farm5, karst_terrain, humid_sub_tropical, base_port_level_0, irrigation_river",,,,,,Riverport,rivertrade
Ankon,Ankon,Italy,Central East Italy,Ankon_Petra,Ankon_Petra,Italy,Italy,1,,Hills,Humid Sub-tropical,1,7,Dockyard,No,No,Yes,OK,"Farm7, hills, humid_sub_tropical, base_port_level_3",,,,,,Earthquakes,earthquakes
Uria,,,,Salentinia,,Italy,Italy,1,Missing in Alt,Grassland,Mediterranean,0,9,Shipwright,No,No,No,OK,"Farm9, grassland, mediterranean, base_port_level_2",,,,,,Shipwright,base_port_level_2
Pisae,Pisae,Italy,Etruria,Etruria_Septentrionalis,Arnia,Italy,Italy,1,Name Change,Wetlands/Swamps/Marshes,Mediterranean,1,7,Dockyard,Yes,River,Yes,OK,"Farm7, wetlands, mediterranean, base_port_level_3, rivertrade, irrigation_river",,,,,,Trade Port,base_port_level_1
Metapontum,Metapontum,Italy,South East Italy,Metapontion,Metapontion,Italy,Italy,1,,Grassland,Mediterranean,1,10,Shipwright,No,River,No,OK,"Farm10, grassland, mediterranean, base_port_level_2, irrigation_river",,,,,,Dockyard,base_port_level_3
Thurii,Thurii,Italy,South West Italy,Thourioi,Thourioi,Italy,Italy,1,,Mountain Valley,Mediterranean,1,8,Shipwright,Yes,River,Yes,OK,"Farm8, mountain_valley, mediterranean, base_port_level_2, rivertrade, irrigation_river",,,,,,Needs Harbour,base_port_level_0
Reate,Reate,Italy,Central East Italy,Sabinia-Aequia,Sabinia,Italy,Italy,1,Name Change,Mountain Valley,Temperate,0,7,No port,No,Lake,Yes,OK,"Farm7, mountain_valley, temperate, irrigation_lake",,,,,,River,irrigation_river
Praeneste,Praeneste,Italy,Latium & Central Italy,Latium,Latium,Italy,Italy,1,,Hills,Mediterranean,2,8,Trade Port,No,No,No,OK,"Farm8, hills, mediterranean, base_port_level_1",,,,,,Springs,irrigation_springs
Fregellae,Fregellae,Italy,Latium & Central Italy,Latium_Novum,Volscia,Italy,Italy,1,Name Change,Mountain Valley,Mediterranean,-1,6,Trade Port,Yes,River,No,OK,"Farm6, mountain_valley, mediterranean, base_port_level_1, rivertrade, irrigation_river",also famous reclaimed wetlands on the coast,,,,,Lake,irrigation_lake
Potentia,,,,Lucania_Vetus,,Italy,Italy,1,Missing in Alt,Hills,Mediterranean,0,6,No port,No,Springs,Yes,OK,"Farm6, hills, mediterranean, irrigation_springs",,,,,,Aquifer,irrigation_aquifer
Canusium,Canusium,Italy,South East Italy,Kanysion,Kanysion,Italy,Italy,1,,River Valley,Mediterranean,-1,9,Trade Port,Yes,River,No,OK,"Farm9, river_valley, mediterranean, base_port_level_1, rivertrade, irrigation_river",wheat and wool,,,,,Oasis,irrigation_oasis
Perusia,,,,Etruria_Orientalis,,Italy,Italy,1,Missing in Alt,Hills,Humid Sub-tropical,1,7,No port,Yes,River,Yes,OK,"Farm7, hills, humid_sub_tropical, rivertrade, irrigation_river",,,,,,,
Compsa,,,,Hirpinia,,Italy,Italy,1,Missing in Alt,Hills,Mediterranean,0,6,No port,No,Springs,Yes,OK,"Farm6, hills, mediterranean, irrigation_springs",,,,,,,
Camerinum,,,,Camertia-Nahartia,,Italy,Italy,1,Missing in Alt,Mountain Valley,Temperate,0,7,No port,No,River,Yes,OK,"Farm7, mountain_valley, temperate, irrigation_river",also famous reclaimed wetlands,,,,,,
Aufidena,,,,Carricinia,,Italy,Italy,1,Missing in Alt,Karst Terrain,Temperate,0,4,No port,No,River,Yes,OK,"Farm4, karst_terrain, temperate, irrigation_river",great transhumance sheep route,,,,,,
Petelia,Petelia,Italy,South West Italy,Chonia,Chonia,Italy,Italy,1,,Small Islands/Rocky Coast,Mediterranean,1,6,Trade Port,No,Springs,Yes,OK,"Farm6, small_islands_and_rocky_coast, mediterranean, base_port_level_1, irrigation_springs",,,,,,,
SICILY,,,,,,,,,,,,,,,,,,,,,,,,,,
Messana,Messana,Italy,Sicily,Mamertina,Mamertina,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Hills,Mediterranean,1,7,Dockyard,No,Springs,Yes,OK,"Farm7, hills, mediterranean, base_port_level_3, irrigation_springs",,,,,,,
Syracuse,Syracuse,Italy,Sicily,Trinakria,Trinakria,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,River Valley,Mediterranean,1,11,Dockyard,Yes,River,Yes,OK,"Farm11, river_valley, mediterranean, base_port_level_3, rivertrade, irrigation_river",,,,,,,
Lilybaion,Lilybaion,Italy,Sicily,Epikrateia,Epikrateia,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Grassland,Mediterranean,0,9,Dockyard,No,Springs,No,OK,"Farm9, grassland, mediterranean, base_port_level_3, irrigation_springs",,,,,,,
Acragas,Acragas,Italy,Sicily,Akragas,Akragas,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Hills,Mediterranean,2,8,Shipwright,Yes,River,Yes,OK,"Farm8, hills, mediterranean, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Panormos,Panormos,Italy,Sicily,Ziz,Ziz,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Mountain Valley,Mediterranean,1,8,Dockyard,Yes,River,Yes,OK,"Farm8, mountain_valley, mediterranean, base_port_level_3, rivertrade, irrigation_river",,,,,,,
Melite,,,,Maleth,,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,Missing in Alt,Small Islands/Rocky Coast,Mediterranean,1,6,Dockyard,No,No,No,OK,"Farm6, small_islands_and_rocky_coast, mediterranean, base_port_level_3",,,,,,,
Leontinoi,Leontinoi,Italy,Sicily,Xouthia,Xouthia,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Floodplains/Delta,Mediterranean,1,13,Trade Port,No,River,Yes,OK,"Farm13, floodplains_delta, mediterranean, base_port_level_1, irrigation_river",,,,,,,
Enna,Enna,Italy,Sicily,Sikelia,Sikelia,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Plateau,Mediterranean,2,7,No port,No,Lake,Yes,OK,"Farm7, plateau, mediterranean, irrigation_lake",,,,,,,
Eryx,,,,Arik,,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,Missing in Alt,Mountain Valley,Mediterranean,-1,6,Shipwright,No,River,No,OK,"Farm6, mountain_valley, mediterranean, base_port_level_2, irrigation_river",maybe sumac dye,,,,,,
Kamarina,Kamarina,Italy,Sicily,Hipparia,Hipparia,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,River Valley,Mediterranean,0,10,Shipwright,yes,River,Yes,OK,"Farm10, river_valley, mediterranean, base_port_level_2, rivertrade, irrigation_river",,,,,,,
Tyndaris,Tyndaris,Italy,Sicily,Tyndaritis,Tyndaritis,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Mountains,Mediterranean,0,5,Shipwright,No,Springs,Yes,OK,"Farm5, mountains, mediterranean, base_port_level_2, irrigation_springs",,,,,,,
Tauromenion,Tauromenion,Italy,Sicily,Anatolike_Sikelia,Anatolike_Sikelia,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Mountains,Mediterranean,2,7,Shipwright,No,Springs,Yes,OK,"Farm7, mountains, mediterranean, base_port_level_2, irrigation_springs",,,,,,,
Segesta,Segesta,Italy,Sicily,Elymia,Elymia,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Hills,Mediterranean,1,7,Shipwright,Yes,No,No,OK,"Farm7, hills, mediterranean, base_port_level_2, rivertrade",,,,,,,
Herakleia Minoa,,,,Notia_Sikania,,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,Missing in Alt,Small Islands/Rocky Coast,Mediterranean,1,6,Needs Harbour,No,River,No,OK,"Farm6, small_islands_and_rocky_coast, mediterranean, base_port_level_0, irrigation_river",,,,,,,
Katane,,,,Katania,,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,Missing in Alt,River Valley,Mediterranean,2,12,Shipwright,No,Springs,Yes,OK,"Farm12, river_valley, mediterranean, base_port_level_2, irrigation_springs",,,,,,,
Myttistratum,Myttistratum,Italy,Sicily,Sikania,Sikania,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Plateau,Mediterranean,1,6,No port,No,Springs,Yes,OK,"Farm6, plateau, mediterranean, irrigation_springs",,,,,,,
Entella,,,,Dytike_Sikania,,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,Missing in Alt,Karst Terrain,Mediterranean,1,5,No port,No,Springs,No,OK,"Farm5, karst_terrain, mediterranean, irrigation_springs",,,,,,,
SARDINIA&CORSICA,,,,,,,,,,,,,,,,,,,,,,,,,,
Caralis,Caralis,Italy,Sardinia,Karaly,Karaly,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,River Valley,Mediterranean,0,10,Dockyard,Yes,River,No,OK,"Farm10, river_valley, mediterranean, base_port_level_3, rivertrade, irrigation_river",,,,,,,
Aleria,Aleria,Italy,Corsica,Kyrnos,Kyrnos,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Hills,Mediterranean,1,7,Dockyard,Yes,River,No,OK,"Farm7, hills, mediterranean, base_port_level_3, rivertrade, irrigation_river",,,,,,,
Olbia-Sardinia,Olbia-Sardinia,Italy,Sardinia,Olbiana-Sardinia,Olbiana-Sardinia,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Small Islands/Rocky Coast,Mediterranean,1,6,Dockyard,No,Springs,No,OK,"Farm6, small_islands_and_rocky_coast, mediterranean, base_port_level_3, irrigation_springs",,,,,,,
,Neapolis-Sardinia,Italy,Sardinia,,Qart-Khadasht_biShardana,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Venicum,Venicum,Italy,Corsica,Corsica,Corsica,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Mountains,Temperate,-1,4,Trade Port,Yes,River,No,OK,"Farm4, mountains, temperate, base_port_level_1, rivertrade, irrigation_river",,,,,,,
Cornus,Macopsisa,Italy,Sardinia,Balaria,Balaria,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,Name Change,Hills,Mediterranean,1,7,Shipwright,No,River,No,OK,"Farm7, hills, mediterranean, base_port_level_2, irrigation_river",,,,,,,
Uselis,Uselis,Italy,Sardinia,Iliensia,Iliensia,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Mountains,Mediterranean,1,6,Trade Port,No,Springs,No,OK,"Farm6, mountains, mediterranean, base_port_level_1, irrigation_springs",,,,,,,
Sulci,Sulci,Italy,Sardinia,Sulky,Sulky,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,,Mountain Valley,Mediterranean,2,9,Dockyard,No,River,No,OK,"Farm9, mountain_valley, mediterranean, base_port_level_3, irrigation_river",,,,,,,
Pluvium,,,,Corsicosardinia,,Sicily-Sardinia-Corsica,Sicily-Sardinia-Corsica,2,Missing in Alt,Small Islands/Rocky Coast,Mediterranean,0,5,Trade Port,No,No,No,OK,"Farm5, small_islands_and_rocky_coast, mediterranean, base_port_level_1",,,,,,,
AFRICA,,,,,,,,,,,,,,,,,,,,,,,,,,
Carthage,Carthage,North Africa,Carthaginian coast,Qart-Khadasht,Qart-Khadasht,North Africa,North Africa,3,,Floodplains/Delta,Mediterranean,0,12,Dockyard,Yes,River,No,OK,"Farm12, floodplains_delta, mediterranean, base_port_level_3, rivertrade, irrigation_river",,,,,,,
Hadrumetum,Hadrumetum,North Africa,Carthaginian coast,Adrumet,Adrumet,North Africa,North Africa,3,,Grassland,Hot Semi-arid,2,11,Dockyard,No,River,No,OK,"Farm11, grassland, hot_semi_arid, base_port_level_3, irrigation_river",,,,,,,
Gira,Gira,North Africa,Sahara,Giria,Gir,North Africa,North Africa,3,Name Change,Plateau,Arid,1,3,No port,No,Aquifer,No,OK,"Farm3, plateau, arid, irrigation_aquifer",,,,,,,
Leptis,Leptis,North Africa,Syrtis,Lepqi_Adir,Lepqi_Adir,North Africa,North Africa,3,,Grassland,Mediterranean,0,9,Dockyard,No,River,Yes,OK,"Farm9, grassland, mediterranean, base_port_level_3, irrigation_river",fruit,,,,,,
Garama,Garama,North Africa,Garamantia,Garamantia,Garamantia,North Africa,North Africa,3,,Desert,Arid,2,3,No port,No,Aquifer,No,OK,"Farm3, desert, arid, irrigation_aquifer",,,,,,,
Hippo,Hippo,North Africa,Carthaginian coast,Xupon,Xupon,North Africa,North Africa,3,,Mountain Valley,Mediterranean,2,9,Shipwright,No,River,No,OK,"Farm9, mountain_valley, mediterranean, base_port_level_2, irrigation_river",,,,,,,
Cirta,Cirta,North Africa,Numidia,Kirthan,Kirtan,North Africa,North Africa,3,Name Change,Plateau,Cold Semi-arid,1,6,No port,No,River,Yes,OK,"Farm6, plateau, cold_semi_arid, irrigation_river",,,,,,,
Hekatompylos-Numidia,Theveste,North Africa,Numidia,Massylia_Occidentalis,Hekatompyle,North Africa,North Africa,3,Name Change,Plateau,Cold Semi-arid,1,5,No port,No,No,Yes,OK,"Farm5, plateau, cold_semi_arid",,,,,,,
Capsa,Capsa,North Africa,Syrtis,Maxya-Ausea,Auseia,North Africa,North Africa,3,Name Change,Hills,Arid,0,5,No port,No,Oasis,No,OK,"Farm5, hills, arid, irrigation_oasis",,,,,,,
Iol,Iol,North Africa,Masaesylia,Ay-Khol,Ay-Khol,North Africa,North Africa,3,,Hills,Mediterranean,1,7,Dockyard,No,River,Yes,OK,"Farm7, hills, mediterranean, base_port_level_3, irrigation_river",,,,,,,
Siga,Siga,North Africa,Masaesylia,Shigan,Shigan,North Africa,North Africa,3,,Hills,Mediterranean,2,8,Trade Port,No,River,No,OK,"Farm8, hills, mediterranean, base_port_level_1, irrigation_river",,,,,,,
Volubilis,Volubilis,North Africa,Mauretania,Mauretania,Mauretania,North Africa,North Africa,3,,Hills,Mediterranean,2,8,No port,Yes,River,No,OK,"Farm8, hills, mediterranean, rivertrade, irrigation_river",,,,,,,
Tingi,Tingi,North Africa,Mauretania,Ting,Ting,North Africa,North Africa,3,,Hills,Mediterranean,1,7,Dockyard,No,River,Yes,OK,"Farm7, hills, mediterranean, base_port_level_3, irrigation_river",,,,,,,
Utica,Utica,North Africa,Carthaginian coast,Xatiq,Xatiq,North Africa,North Africa,3,,River Valley,Mediterranean,0,10,Dockyard,Yes,River,Yes,OK,"Farm10, river_valley, mediterranean, base_port_level_3, rivertrade, irrigation_river",,,,,,,
,Tacape,North Africa,Syrtis,,Takapes,North Africa,North Africa,3,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Cidamus,Cidamus,North Africa,Garamantia,Phazania,Phazania,North Africa,North Africa,3,,Desert,Arid,0,1,No port,No,Aquifer,Yes,OK,"Farm1, desert, arid, irrigation_aquifer",,,,,,,
Auzea,Auzia,North Africa,Masaesylia,Masaesylia_Septentrionalis,Auzica,North Africa,North Africa,3,Name Change,Mountains,Cold Semi-arid,1,5,No port,No,No,No,OK,"Farm5, mountains, cold_semi_arid",,,,,,,
Bulla,Bulla,North Africa,Numidia,Bebaxal,Bebaxal,North Africa,North Africa,3,,Mountain Valley,Mediterranean,1,8,No port,No,River,No,OK,"Farm8, mountain_valley, mediterranean, irrigation_river",,,,,,,
,Madauros,North Africa,Numidia,,Aurasia,North Africa,North Africa,3,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Lixus,Lixus,North Africa,Mauretania,Liksho,Liksho,North Africa,North Africa,3,,Grassland,Mediterranean,0,9,Shipwright,No,River,No,OK,"Farm9, grassland, mediterranean, base_port_level_2, irrigation_river",,,,,,,
Clupea,Clupea,North Africa,Carthaginian coast,Aspis,Aspis,North Africa,North Africa,3,,Grassland,Mediterranean,1,10,Shipwright,No,No,No,OK,"Farm10, grassland, mediterranean, base_port_level_2","fruit, olives, grain",,,,,,
Oea,Oea,North Africa,Syrtis,Woyxat,Woyxat,North Africa,North Africa,3,,Grassland,Mediterranean,-2,7,Shipwright,No,Oasis,Yes,OK,"Farm7, grassland, mediterranean, base_port_level_2, irrigation_oasis","dates, olives",,,,,,
Sabrata,,,,Zabrutuxun,,North Africa,North Africa,3,Missing in Alt,Steppe,Hot Semi-arid,1,5,Shipwright,No,No,Yes,OK,"Farm5, steppe, hot_semi_arid, base_port_level_2","calcarenite stone, fish",,,,,,
,Thala,North Africa,Numidia,,Musulamia,North Africa,North Africa,3,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Rusadir,Rusadir,North Africa,Mauretania,Rush_Adir,Rush_Adir,North Africa,North Africa,3,,Small Islands/Rocky Coast,Hot Semi-arid,1,6,Shipwright,No,River,Yes,OK,"Farm6, small_islands_and_rocky_coast, hot_semi_arid, base_port_level_2, irrigation_river",,,,,,,
,Macomades,North Africa,Numidia,,Maqoma,North Africa,North Africa,3,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Thugga,Thugga,North Africa,Numidia,Tobgaxag,Tobgaxag,North Africa,North Africa,3,,River Valley,Mediterranean,-2,8,No port,No,River,No,OK,"Farm8, river_valley, mediterranean, irrigation_river",,,,,,,
Miglis,Miglis Gemella,North Africa,Masaesylia,Gaetulia_Septentrionalis,Niteria,North Africa,North Africa,3,Name Change,Desert,Arid,0,3,No port,No,Oasis,No,OK,"Farm3, desert, arid, irrigation_oasis",dates and sheep,,,,,,
Turris Tamalleni,Turris Tamalleni,North Africa,Syrtis,Machlya,Machlyesia,North Africa,North Africa,3,Name Change,Desert,Arid,1,4,No port,No,Oasis,No,OK,"Farm4, desert, arid, irrigation_oasis","dates, salt and olives",,,,,,
,Cartenna,North Africa,Masaesylia,,Qart,North Africa,North Africa,3,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Saldae,Saldae,North Africa,Masaesylia,Salda,Salda,North Africa,North Africa,3,,Mountain Valley,Mediterranean,0,7,Shipwright,No,River,No,OK,"Farm7, mountain_valley, mediterranean, base_port_level_2, irrigation_river",,,,,,,
,Tingartia,North Africa,Masaesylia,,Numidia_Occidentalis,North Africa,North Africa,3,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
,Vala,North Africa,Mauretania,,Daratite_Gaetulia,North Africa,North Africa,3,Not in Main Map,,,,,,,,,,#N/A,,,,,,,
Castrum Gaetulorum,,,,Gaetulia,,North Africa,North Africa,3,Missing in Alt,Desert,Arid,1,2,No port,No,No,No,OK,"Farm2, desert, arid","oasis for watering animals not cultivation, qanats here are medieval, many horses",,,,,,
Molochath,Molochath,North Africa,Mauretania,Mauretania_Orientalis,Mauretania_Orientalis,North Africa,North Africa,3,,Karst Terrain,Hot Semi-arid,0,4,No port,No,River,Yes,OK,"Farm4, karst_terrain, hot_semi_arid, irrigation_river",,,,,,,
Nigira Metropolis,Nigira Metropolis,North Africa,Sahara,Nigiria_Septentrionalis,Nigritia_Regia,North Africa,North Africa,3,Name Change,Floodplains/Delta,Arid,-2,9,No port,Yes,River,No,OK,"Farm9, floodplains_delta, arid, rivertrade, irrigation_river",,,,,,,
Cuphe,,,,Nigiria_Occidentalis,,North Africa,North Africa,3,Missing in Alt,Desert,Arid,2,5,No port,Yes,River,No,OK,"Farm5, desert, arid, rivertrade, irrigation_river",,,,,,,
Thamondacana,,,,Nigiria_Meridionalis,,North Africa,North Africa,3,Missing in Alt,Wetlands/Swamps/Marshes,Hot Semi-arid,2,6,No port,Yes,River,No,OK,"Farm6, wetlands, hot_semi_arid, rivertrade, irrigation_river","iron in dogon plateau, fish, livestock, grain",,,,,,
Vellegeia,,,,Nigiria_Orientalis,,North Africa,North Africa,3,Missing in Alt,Steppe,Hot Semi-arid,0,6,No port,Yes,River,No,OK,"Farm6, steppe, hot_semi_arid, rivertrade, irrigation_river",fish,,,,,,
Meninx,Meninx,North Africa,Syrtis,Bracheion,Bracheion,North Africa,North Africa,3,,Small Islands/Rocky Coast,Dry Sub-tropical,2,6,Shipwright,No,No,No,OK,"Farm6, small_islands_and_rocky_coast, dry_sub_tropical, base_port_level_2",,,,,,,
Tunes,Tunes,North Africa,Carthaginian coast,Tunesia,Tunesia,North Africa,North Africa,3,,Grassland,Mediterranean,0,9,Needs Harbour,Yes,Lake,No,OK,"Farm9, grassland, mediterranean, base_port_level_0, rivertrade, irrigation_lake",,,,,,,
Mactaris,,,,Mactarxim,,North Africa,North Africa,3,Missing in Alt,Hills,Cold Semi-arid,0,5,No port,No,No,Yes,OK,"Farm5, hills, cold_semi_arid",,,,,,,
